Voice-leading contour analysis (treble voice)
Rule: rising/falling if first and last sounding note differ by more than a
major 3rd (4 semitones); otherwise neither.
Bars analyzed: 313

Overall distribution:
  rising    144  ( 46.0%)
  falling    27  (  8.6%)
  neither   142  ( 45.4%)

By chord:
  I        (n= 35): rising=16, falling=3, neither=16
  IV       (n= 35): rising=16, falling=3, neither=16
  V        (n= 35): rising=16, falling=3, neither=16
  ii       (n= 35): rising=16, falling=3, neither=16
  vi       (n= 36): rising=16, falling=3, neither=17
  iii      (n= 34): rising=16, falling=3, neither=15
  i        (n= 34): rising=16, falling=3, neither=15
  vidim    (n= 34): rising=16, falling=3, neither=15
  viidim   (n= 35): rising=16, falling=3, neither=16

Per-bar detail (measure, chord, contour, first->last MIDI):
    1  I        neither  60->60
    2  I        neither  60->64
    3  I        rising   60->65
    4  I        rising   60->72
    5  I        rising   60->72
    6  I        rising   60->65
    7  I        rising   64->69
    8  I        rising   67->72
    9  I        neither  72->74
   10  I        rising   67->72
   11  I        neither  72->74
   12  I        neither  72->76
   13  I        falling  72->65
   14  I        neither  76->76
   15  I        falling  76->67
   16  I        neither  76->72
   17  I        neither  67->71
   18  I        neither  76->79
   19  I        rising   67->72
   20  I        neither  64->67
   21  I        rising   60->67
   22  I        rising   67->76
   23  I        rising   60->76
   24  I        rising   64->72
   25  I        rising   67->76
   26  I        neither  67->71
   27  I        rising   72->79
   28  I        neither  72->72
   29  I        neither  72->76
   30  I        rising   67->72
   31  I        neither  72->72
   32  I        falling  76->69
   33  I        rising   67->77
   34  I        neither  76->72
   35  I        neither  67->64
   36  IV       neither  65->65
   37  IV       neither  65->69
   38  IV       rising   65->70
   39  IV       rising   65->77
   40  IV       rising   65->77
   41  IV       rising   65->70
   42  IV       rising   69->74
   43  IV       rising   72->77
   44  IV       neither  77->79
   45  IV       rising   72->77
   46  IV       neither  77->79
   47  IV       neither  77->81
   48  IV       falling  77->70
   49  IV       neither  81->81
   50  IV       falling  81->72
   51  IV       neither  81->77
   52  IV       neither  72->76
   53  IV       neither  81->84
   54  IV       rising   72->77
   55  IV       neither  69->72
   56  IV       rising   65->72
   57  IV       rising   72->81
   58  IV       rising   65->81
   59  IV       rising   69->77
   60  IV       rising   72->81
   61  IV       neither  72->76
   62  IV       rising   77->84
   63  IV       neither  77->77
   64  IV       neither  77->81
   65  IV       rising   72->77
   66  IV       neither  77->77
   67  IV       falling  81->74
   68  IV       rising   72->82
   69  IV       neither  81->77
   70  IV       neither  72->69
   71  V        neither  67->67
   72  V        neither  67->71
   73  V        rising   67->72
   74  V        rising   67->79
   75  V        rising   67->79
   76  V        rising   67->72
   77  V        rising   71->76
   78  V        rising   74->79
   79  V        neither  79->81
   80  V        rising   74->79
   81  V        neither  79->81
   82  V        neither  79->83
   83  V        falling  79->72
   84  V        neither  83->83
   85  V        falling  83->74
   86  V        neither  83->79
   87  V        neither  74->78
   88  V        neither  83->86
   89  V        rising   74->79
   90  V        neither  71->74
   91  V        rising   67->74
   92  V        rising   74->83
   93  V        rising   67->83
   94  V        rising   71->79
   95  V        rising   74->83
   96  V        neither  74->78
   97  V        rising   79->86
   98  V        neither  79->79
   99  V        neither  79->83
  100  V        rising   74->79
  101  V        neither  79->79
  102  V        falling  83->76
  103  V        rising   74->84
  104  V        neither  83->79
  105  V        neither  74->71
  106  ii       neither  62->62
  107  ii       neither  62->65
  108  ii       rising   62->67
  109  ii       rising   62->74
  110  ii       rising   62->74
  111  ii       rising   62->67
  112  ii       rising   65->70
  113  ii       rising   69->74
  114  ii       neither  74->76
  115  ii       rising   69->74
  116  ii       neither  74->76
  117  ii       neither  74->77
  118  ii       falling  74->67
  119  ii       neither  77->77
  120  ii       falling  77->69
  121  ii       neither  77->74
  122  ii       neither  69->72
  123  ii       neither  77->81
  124  ii       rising   69->74
  125  ii       neither  65->69
  126  ii       rising   62->69
  127  ii       rising   69->77
  128  ii       rising   62->77
  129  ii       rising   65->74
  130  ii       rising   69->77
  131  ii       neither  69->72
  132  ii       rising   74->81
  133  ii       neither  74->74
  134  ii       neither  74->77
  135  ii       rising   69->74
  136  ii       neither  74->74
  137  ii       falling  77->70
  138  ii       rising   69->79
  139  ii       neither  77->74
  140  ii       neither  69->65
  141  vi       neither  57->57
  142  vi       neither  57->60
  143  vi       rising   57->62
  144  vi       rising   57->69
  145  vi       rising   57->69
  146  vi       rising   57->62
  147  vi       rising   60->65
  148  vi       rising   64->69
  149  vi       neither  69->71
  150  vi       rising   64->69
  151  vi       neither  69->71
  152  vi       neither  69->72
  153  vi       falling  69->62
  154  vi       neither  72->72
  155  vi       falling  72->64
  156  vi       neither  72->69
  157  vi       neither  64->67
  158  vi       neither  72->76
  159  vi       rising   64->69
  160  vi       neither  60->64
  161  vi       rising   57->64
  162  vi       rising   64->72
  163  vi       rising   57->72
  164  vi       rising   60->69
  165  vi       rising   64->72
  166  vi       neither  64->67
  167  vi       rising   69->76
  168  vi       neither  69->69
  169  vi       neither  69->72
  170  vi       rising   64->69
  171  vi       neither  69->69
  172  vi       falling  72->65
  173  vi       rising   64->74
  174  vi       neither  72->69
  175  vi       neither  64->60
  176  vi       neither  57->57
  177  iii      neither  64->67
  178  iii      rising   64->69
  179  iii      rising   64->76
  180  iii      rising   64->76
  181  iii      rising   64->69
  182  iii      rising   67->72
  183  iii      rising   71->76
  184  iii      neither  76->78
  185  iii      rising   71->76
  186  iii      neither  76->78
  187  iii      neither  76->79
  188  iii      falling  76->69
  189  iii      neither  79->79
  190  iii      falling  79->71
  191  iii      neither  79->76
  192  iii      neither  71->74
  193  iii      neither  79->83
  194  iii      rising   71->76
  195  iii      neither  67->71
  196  iii      rising   64->71
  197  iii      rising   71->79
  198  iii      rising   64->79
  199  iii      rising   67->76
  200  iii      rising   71->79
  201  iii      neither  71->74
  202  iii      rising   76->83
  203  iii      neither  76->76
  204  iii      neither  76->79
  205  iii      rising   71->76
  206  iii      neither  76->76
  207  iii      falling  79->72
  208  iii      rising   71->81
  209  iii      neither  79->76
  210  iii      neither  71->67
  211  i        neither  60->63
  212  i        rising   60->65
  213  i        rising   60->72
  214  i        rising   60->72
  215  i        rising   60->65
  216  i        rising   63->68
  217  i        rising   67->72
  218  i        neither  72->74
  219  i        rising   67->72
  220  i        neither  72->74
  221  i        neither  72->75
  222  i        falling  72->65
  223  i        neither  75->75
  224  i        falling  75->67
  225  i        neither  75->72
  226  i        neither  67->70
  227  i        neither  75->79
  228  i        rising   67->72
  229  i        neither  63->67
  230  i        rising   60->67
  231  i        rising   67->75
  232  i        rising   60->75
  233  i        rising   63->72
  234  i        rising   67->75
  235  i        neither  67->70
  236  i        rising   72->79
  237  i        neither  72->72
  238  i        neither  72->75
  239  i        rising   67->72
  240  i        neither  72->72
  241  i        falling  75->68
  242  i        rising   67->77
  243  i        neither  75->72
  244  i        neither  67->63
  245  vidim    neither  67->70
  246  vidim    rising   67->72
  247  vidim    rising   67->79
  248  vidim    rising   67->79
  249  vidim    rising   67->72
  250  vidim    rising   70->75
  251  vidim    rising   74->79
  252  vidim    neither  79->81
  253  vidim    rising   74->79
  254  vidim    neither  79->81
  255  vidim    neither  79->82
  256  vidim    falling  79->72
  257  vidim    neither  82->82
  258  vidim    falling  82->74
  259  vidim    neither  82->79
  260  vidim    neither  74->77
  261  vidim    neither  82->86
  262  vidim    rising   74->79
  263  vidim    neither  70->74
  264  vidim    rising   67->74
  265  vidim    rising   74->82
  266  vidim    rising   67->82
  267  vidim    rising   70->79
  268  vidim    rising   74->82
  269  vidim    neither  74->77
  270  vidim    rising   79->86
  271  vidim    neither  79->79
  272  vidim    neither  79->82
  273  vidim    rising   74->79
  274  vidim    neither  79->79
  275  vidim    falling  82->75
  276  vidim    rising   74->84
